NO;ID;NAMA ITEM DATA;KELURAHAN;KECAMATAN;KABUPATEN/KOTA;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT;DATA ATRIBUT7;DATA ATRIBUT8;DATA ATRIBUT9;PHOTO/GAMBAR
66;;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;KOTA SOLOK;-0.7733327815702054;100.65962656208283;CRM;JALAN K. H AHMAD DAHLAN NO.123 - 125 SOLOK;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
67;;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;KOTA SOLOK;-0.7733327815702054;100.65962656208283;CRM;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
68;;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;KOTA SOLOK;-0.7733327815702054;100.65962656208283;ATM Non-Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
69;;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;KOTA SOLOK;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
70;;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;KOTA SOLOK;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
71;;GALLERY KCU SOLOK;PASAR PANDAN AIR MATI;TANJUNG HARAPAN;KOTA SOLOK;-0.7733327815702054;100.65962656208283;ATM Tunai;JL. K.H. AHMAD DAHLAN N0. 123-125 SOLOK;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
72;;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;KOTA PADANG;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMP. UNIV. ANDALAS JL. GEDUNG PKM KAMPUS LIMAU MANIS PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
73;;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;KOTA PADANG;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMPLEKS UNIVERSITAS ANDALAS LIMAU MANIS PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
74;;GALLERY UNIVERSITAS ANDALAS;LIMAU MANIS;PAUH;KOTA PADANG;-0.9380553285774798;100.38097500569003;ATM Tunai;KOMPLEKS UNIVERSITAS ANDALAS LIMAU MANIS PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
75;;GAREGEH;GAREGEH;MANDIANGIN KOTO SELAYAN;KOTA BUKITTINGGI;-0.2952669903042768;100.3852879978301;ATM Tunai;JL.SOEKARNO HATTA GANTING BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
76;;GRAHA SERAMBI MEKAH;NGALAU;PADANG PANJANG TIMUR;KOTA PADANG PANJANG;-0.46189284689996857;100.4102418820387;ATM Tunai;JL.A.YANI NO .01 PADANG PANJANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
77;;HBT WIHARA BUKITTINGGI;BENTENG PASAR ATAS;GUGUAK PANJANG;KOTA BUKITTINGGI;-0.2876092206928431;100.37298319367927;ATM Tunai;JL. A YANI BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
78;;HOKY MART;KEL. MANDIS GANTING;MANDIANGIN KOTO SELAYAN;KOTA BUKITTINGGI;-0.29702128324041277;100.38675007947266;ATM Tunai;JL. SOEKARNO HATTA GANTING BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
79;;HOTEL GRAND MUTIS;BANDAR BUAT;LUBUK KILANGAN;KOTA PADANG;-0.9490968611827025;100.43962304507664;ATM Tunai;JL.SLAMET WARDOYO;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
80;;HOTEL IBIS;RIMBO KALUANG;PADANG CARAT;KOTA PADANG;-0.9274888248810643;100.36309003367994;ATM Tunai;JL.TAMAN SISWA NO.1A;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
81;;HOTEL ION;ULAK KARANMG UTARA;PADANG UTARA;KOTA PADANG;-0.9077077592447736;100.35107106598296;ATM Tunai;JL. S PARMAN NO. 250 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
82;;HOTEL MERCURE;PURUS;PADANG BARAT;KOTA PADANG;-0.9357495153771851;100.35274239481888;ATM Tunai;JL PURUS NO. 8 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
83;;HOTEL MITRA ARENA;ATTS;GUGUK PANJANG;KOTA BUKITTINGGI;-0.30037521484049035;100.37227123294886;ATM Tunai;JL. SOEKARNO HATTA BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
84;;HOTEL MY ALL;KEL. OLO;PADANG BARAT;KOTA PADANG;-0.9428252156741559;100.35171597947603;ATM Tunai;JL. SAMUDRA;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
85;;HOTEL OMBILIN;PASAR REMAJA;PASAR REMAJA;KOTA SAWAHLUNTO;-0.6810474096702017;100.7774886948175;ATM Tunai;JL.M YAMIN PASAR REMAJA KOTA SAWAHLUNTO;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
